,Restaurant,UserID,Menu,Total
0,치킨&강정-노량진점,km**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
1,치킨&강정-노량진점,7t**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
2,치킨&강정-노량진점,fk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
3,치킨&강정-노량진점,dl**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
4,치킨&강정-노량진점,rl**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
5,치킨&강정-노량진점,hy**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1",5
6,치킨&강정-노량진점,ka**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
7,치킨&강정-노량진점,go**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
8,치킨&강정-노량진점,fd**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
9,치킨&강정-노량진점,na**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
10,치킨&강정-노량진점,kn**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
11,치킨&강정-노량진점,rk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
12,치킨&강정-노량진점,bi**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),5
13,치킨&강정-노량진점,go**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
14,치킨&강정-노량진점,un**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
15,치킨&강정-노량진점,tt**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),콜라 1.25L/1",4
16,치킨&강정-노량진점,ym**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
17,치킨&강정-노량진점,ch**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
18,치킨&강정-노량진점,0r**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
19,치킨&강정-노량진점,su**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
20,치킨&강정-노량진점,my**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),4
21,치킨&강정-노량진점,je**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),사이다 1.25L/1",1
22,치킨&강정-노량진점,rk**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
23,치킨&강정-노량진점,du**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
24,치킨&강정-노량진점,fd**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
25,치킨&강정-노량진점,ke**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(매운맛),닭강정 中자 맛 선택 2(순한맛),음료 추가선택(변경 안함))",5
26,치킨&강정-노량진점,se**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),콜라 1.25L/1",5
27,치킨&강정-노량진점,km**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),5
28,치킨&강정-노량진점,a1**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
29,치킨&강정-노량진점,ni**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
30,치킨&강정-노량진점,gk**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",5
31,치킨&강정-노량진점,na**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
32,치킨&강정-노량진점,sn**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
33,치킨&강정-노량진점,ni**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
34,치킨&강정-노량진점,ak**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),콜라 1.25L/1",5
35,치킨&강정-노량진점,no**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
36,치킨&강정-노량진점,oi**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),콜라 1.25L/1",5
37,치킨&강정-노량진점,na**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
38,치킨&강정-노량진점,0r**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
39,치킨&강정-노량진점,fd**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
40,치킨&강정-노량진점,go**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
41,치킨&강정-노량진점,pr**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
42,치킨&강정-노량진점,xw**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
43,치킨&강정-노량진점,cl**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),4
44,치킨&강정-노량진점,dh**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),치킨무/1,콜라 1.25L/1",5
45,치킨&강정-노량진점,na**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
46,치킨&강정-노량진점,go**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
47,치킨&강정-노량진점,ch**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
48,치킨&강정-노량진점,ha**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),5
49,치킨&강정-노량진점,ci**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
50,치킨&강정-노량진점,wn**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
51,치킨&강정-노량진점,dr**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),치킨무/1",5
52,치킨&강정-노량진점,wj**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),5
53,치킨&강정-노량진점,ch**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),콜라 1.25L/1",5
54,치킨&강정-노량진점,wj**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
55,치킨&강정-노량진점,ky**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
56,치킨&강정-노량진점,ki**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1,매운맛 소스/1",5
57,치킨&강정-노량진점,ap**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),4
58,치킨&강정-노량진점,oi**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),떡/1,콜라 500mL/1",5
59,치킨&강정-노량진점,oi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
60,치킨&강정-노량진점,kw**님,"바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),떡/1,매운맛 소스/1",5
61,치킨&강정-노량진점,12**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),3
62,치킨&강정-노량진점,7t**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
63,치킨&강정-노량진점,ke**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",5
64,치킨&강정-노량진점,01**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),떡/1",5
65,치킨&강정-노량진점,bi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
66,치킨&강정-노량진점,10**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
67,치킨&강정-노량진점,pr**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
